"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"34","038-2015",126705,5.10279718082815,0,"3/2/15",3,"March","Winter",2015,"beef","Undeclared Allergen","Class II",FALSE,FALSE,"126705","0",0,0,-5.10279718082815,21
"35","039-2015",1400,3.14643813528577,154,"3/4/15",3,"March","Winter",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"1400","154",2.19033169817029,0.11,-0.956106437115483,21
"36","040-2015",50953,4.70717828274362,0,"3/5/15",3,"March","Winter",2015,"mixed","Other","Class I",FALSE,FALSE,"50953","0",0,0,-4.70717828274362,21
"37","043-2015",30665,4.48665713133888,11421,"3/12/15",3,"March","Winter",2015,"pork","Undeclared Allergen","Class II",FALSE,FALSE,"30665","11421",4.05774215582875,0.372444154573618,-0.428914975510128,21
"38","042-2015",10429,4.01828430842653,0,"3/12/15",3,"March","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"10429","0",0,0,-4.01828430842653,21
"39","044-2015",644,2.80955971463527,446,"3/13/15",3,"March","Winter",2015,"pork","Other","Class I",FALSE,FALSE,"644","446",2.65030752313194,0.692546583850932,-0.159252191503331,21
"40","045-2015",16722,4.22331418976413,1177,"3/14/15",3,"March","Winter",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"16722","1177",3.07114529045108,0.0703863174261452,-1.15216889931305,21
"41","046-2015",3700,3.56831908509511,583,"3/14/15",3,"March","Winter",2015,"beef","Undeclared Allergen","Class II",FALSE,FALSE,"3700","583",2.7664128471124,0.157567567567568,-0.801906237982712,21
"42","047-2015",134,2.13033376849501,67,"3/17/15",3,"March","Winter",2015,"beef","Other","Class III",FALSE,FALSE,"134","67",1.83250891270624,0.5,-0.29782485578877,21
"43","048-2015",31851,4.50313670705422,269,"3/18/15",3,"March","Winter",2015,"pork","Undeclared Allergen","Class I",FALSE,FALSE,"31851","269",2.43136376415899,0.00844557470723054,-2.07177294289523,21
"44","049-2015",232,2.36735592102602,0,"3/20/15",3,"March","Winter",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"232","0",0,0,-2.36735592102602,21
"45","051-2015",2149,3.33243845991561,0,"3/23/15",3,"March","Spring",2015,"beef","Other","Class III",FALSE,FALSE,"2149","0",0,0,-3.33243845991561,21
"46","054-2015",4,0.698970004336019,0,"4/1/15",4,"April","Spring",2015,"mixed","Listeria","Class I",FALSE,FALSE,"4","0",0,0,-0.698970004336019,21
"47","055-2015",902,2.95568775031351,0,"4/2/15",4,"April","Spring",2015,"mixed","Other","Class I",FALSE,FALSE,"902","0",0,0,-2.95568775031351,21
"48","056-2015",450,2.65417654187796,0,"4/8/15",4,"April","Spring",2015,"mixed","Other","Class I",FALSE,FALSE,"450","0",0,0,-2.65417654187796,21
"49","057-2015",34923,4.54312397954786,15619,"4/8/15",4,"April","Spring",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"34923","15619",4.19368102954128,0.447241073218223,-0.349442950006583,21
