,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
53,061-2015,1920,3.283527365,0,4/14/15,4,April,Spring,2015,mixed,Extraneous Material,Class I,FALSE,FALSE
54,062-2015,569,2.755874856,0,4/15/15,4,April,Spring,2015,mixed,Other,Class II,FALSE,FALSE
55,063-2015,3821,3.582290683,802,4/17/15,4,April,Spring,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
56,064-2015,2129,3.328379603,313,4/18/15,4,April,Spring,2015,pork,Processing Defect,Class I,FALSE,FALSE
57,065-2015,737,2.868056362,107,4/20/15,4,April,Spring,2015,poultry,Other,Class III,FALSE,FALSE
58,066-2015,59203,4.77235105,1134,4/20/15,4,April,Spring,2015,mixed,Extraneous Material,Class II,FALSE,FALSE
59,067-2015,34075,4.53244861,19838,4/23/15,4,April,Spring,2015,poultry,Extraneous Material,Class I,FALSE,FALSE
60,068-2015,10164,4.007107383,497,4/24/15,4,April,Spring,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
61,070-2015,1029,3.012837225,0,4/27/15,4,April,Spring,2015,beef,STEC,Class I,TRUE,FALSE
62,071-2015,9073384,6.957769339,23174,4/29/15,4,April,Spring,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
63,072-2015,159291,5.202193965,1176,4/30/15,4,April,Spring,2015,mixed,Undeclared Allergen,Class II,FALSE,FALSE
64,074-2015,22,1.361727836,9,5/1/15,5,May,Spring,2015,beef,Extraneous Material,Class II,FALSE,FALSE
65,075-2015,665,2.823474229,88,5/7/15,5,May,Spring,2015,beef,Undeclared Allergen,Class I,FALSE,FALSE
66,077-2015,46612,4.668507055,2058,5/8/15,5,May,Spring,2015,pork,Undeclared Allergen,Class II,FALSE,FALSE
67,079-2015,2191,3.34084055,470,5/14/15,5,May,Spring,2015,poultry,Other,Class II,FALSE,FALSE
68,078-2015,414,2.618048097,0,5/16/15,5,May,Spring,2015,mixed,Undeclared Allergen,Class II,FALSE,FALSE
69,083-2015,4038,3.606273853,0,5/22/15,5,May,Spring,2015,pork,Undeclared Allergen,Class II,FALSE,FALSE
70,082-2015,12,1.113943352,0,5/22/15,5,May,Spring,2015,beef,Undeclared Allergen,Class II,FALSE,FALSE
71,084-2015,18000,4.255296632,11573,5/29/15,5,May,Spring,2015,poultry,Undeclared Allergen,Class I,FALSE,FALSE
72,085-2015,16000,4.204147125,0,6/3/15,6,June,Spring,2015,beef,STEC,Class I,FALSE,FALSE
73,087-2015,49308,4.692926195,0,6/4/15,6,June,Spring,2015,pork,Extraneous Material,Class I,FALSE,FALSE
74,086-2015,29052,4.463190984,0,6/4/15,6,June,Spring,2015,mixed,Other,Class II,FALSE,FALSE
75,088-2015,11670,4.067108069,3330,6/6/15,6,June,Spring,2015,poultry,Undeclared Allergen,Class II,FALSE,FALSE
76,090-2015,529,2.72427587,2,6/12/15,6,June,Spring,2015,beef,Other,Class II,FALSE,FALSE
77,091-2015,36,1.568201724,18,6/15/15,6,June,Spring,2015,pork,Other,Class I,FALSE,FALSE
78,092-2015,25380,4.404508729,0,6/16/15,6,June,Spring,2015,pork,Undeclared Allergen,Class II,FALSE,FALSE
79,094-2015,2478,3.394276527,100,6/20/15,6,June,Spring,2015,mixed,Listeria,Class I,FALSE,FALSE
80,095-2015,67232,4.82758249,3872,6/26/15,6,June,Summer,2015,beef,Other,Class I,FALSE,FALSE
81,097-2015,26975,4.430977553,3087,7/3/15,7,July,Summer,2015,beef,STEC,Class I,FALSE,FALSE
82,098-2015,1540,3.187802639,1045,7/7/15,7,July,Summer,2015,beef,Other,Class I,FALSE,FALSE
83,099-2015,495,2.695481676,0,7/10/15,7,July,Summer,2015,poultry,Extraneous Material,Class II,FALSE,FALSE
84,100-2015,20232,4.306060282,0,7/15/15,7,July,Summer,2015,poultry,Other,Class I,FALSE,FALSE
85,102-2015,5960,3.775319122,1050,7/16/15,7,July,Summer,2015,mixed,Other,Class III,FALSE,FALSE
86,103-2015,778,2.891537458,381,7/20/15,7,July,Summer,2015,mixed,Undeclared Substance,Class III,FALSE,FALSE
87,104-2015,NA,NA,4360,7/23/15,7,July,Summer,2015,beef,STEC,Class I,FALSE,FALSE
88,107-2015,17,1.255272505,0,8/3/15,8,August,Summer,2015,mixed,Other,Class II,FALSE,FALSE
89,108-2015,7368,3.867408557,0,8/7/15,8,August,Summer,2015,poultry,Other,Class II,FALSE,FALSE
90,109-2015,185,2.269512944,3,8/11/15,8,August,Summer,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
91,112-2015,3950,3.59670703,0,8/17/15,8,August,Summer,2015,beef,Other,Class I,FALSE,FALSE
92,114-2015,6644,3.822494985,439,8/26/15,8,August,Summer,2015,poultry,Undeclared Allergen,Class II,FALSE,FALSE
93,118-2015,501509,5.700279597,118881,8/31/15,8,August,Summer,2015,beef,Undeclared Substance,Class III,FALSE,FALSE
