,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
229,021-2013,6120,3.786822379,6120,3/12/13,3,March,Winter,2013,poultry,Listeria,Class I,TRUE,FALSE
230,023-2013,5820,3.764997599,11340,3/15/13,3,March,Winter,2013,beef,Extraneous Material,Class III,TRUE,FALSE
231,022-2013,2433,3.386320574,125,3/15/13,3,March,Winter,2013,pork,Other,Class I,TRUE,FALSE
232,024-2013,15270,4.183867477,NA,3/25/13,3,March,Spring,2013,mixed,Other,Class II,TRUE,FALSE
233,025-2013,10500000,7.02118934,NA,3/28/13,3,March,Spring,2013,mixed,STEC,Class I,TRUE,FALSE
234,026-2013,127000,5.103807141,65690,4/2/13,4,April,Spring,2013,poultry,Undeclared Allergen,Class I,TRUE,FALSE
235,027-2013,1133,3.054613055,0,4/10/13,4,April,Spring,2013,pork,Undeclared Allergen,Class II,TRUE,FALSE
236,028-2013,468000,5.670246781,NA,4/10/13,4,April,Spring,2013,mixed,Listeria,Class I,TRUE,FALSE
237,029-2013,25000,4.39795738,7533,5/1/13,5,May,Spring,2013,mixed,Other,Class I,TRUE,FALSE
238,031-2013,97000,4.986776212,96999,5/2/13,5,May,Spring,2013,mixed,Extraneous Material,Class I,TRUE,FALSE
239,030-2013,234,2.371067862,234,5/2/13,5,May,Spring,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
240,032-2013,123,2.093421685,NA,5/2/13,5,May,Spring,2013,mixed,Listeria,Class I,TRUE,FALSE
241,033-2013,200,2.303196057,248,5/7/13,5,May,Spring,2013,pork,Other,Class I,TRUE,FALSE
242,035-2013,1471,3.16790781,680,5/10/13,5,May,Spring,2013,pork,Undeclared Allergen,Class I,TRUE,FALSE
243,034-2013,17037,4.231418614,NA,5/10/13,5,May,Spring,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
244,036-2013,6165,3.79000352,902,5/21/13,5,May,Spring,2013,poultry,Undeclared Allergen,Class II,TRUE,FALSE
245,037-2013,2025,3.306639441,140,6/3/13,6,June,Spring,2013,beef,Undeclared Allergen,Class I,TRUE,FALSE
246,038-2013,678,2.831869774,1142,6/12/13,6,June,Spring,2013,poultry,Undeclared Allergen,Class I,TRUE,FALSE
247,039-2013,1800,3.255513713,320,6/12/13,6,June,Spring,2013,beef,Undeclared Allergen,Class II,TRUE,FALSE
248,040-2013,22737,4.356752262,5090,6/18/13,6,June,Spring,2013,beef,STEC,Class I,TRUE,FALSE
249,041-2013,18000,4.255296632,18000,6/19/13,6,June,Spring,2013,poultry,Extraneous Material,Class II,TRUE,FALSE
250,042-2013,12560,4.099024216,8616,6/26/13,6,June,Summer,2013,poultry,Undeclared Allergen,Class II,TRUE,FALSE
251,043-2013,50100,4.699846394,49136,7/31/13,7,July,Summer,2013,beef,STEC,Class I,TRUE,FALSE
252,044-2013,2486,3.395675785,527,7/31/13,7,July,Summer,2013,poultry,Undeclared Allergen,Class I,TRUE,FALSE
253,045-2013,12600,4.100405012,1500,8/9/13,8,August,Summer,2013,beef,STEC,Class I,TRUE,FALSE
254,046-2013,69123,4.839628862,4947,8/23/13,8,August,Summer,2013,pork,Undeclared Allergen,Class II,TRUE,FALSE
255,047-2013,109,2.041392685,13,8/28/13,8,August,Summer,2013,beef,Processing Defect,Class I,TRUE,FALSE
256,048-2013,116404,5.065971635,9542,8/28/13,8,August,Summer,2013,beef,Undeclared Allergen,Class I,TRUE,FALSE
257,049-2013,1740,3.240798771,41400,8/30/13,8,August,Summer,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
258,050-2013,1650,3.217747073,390,9/6/13,9,September,Summer,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
259,051-2013,690,2.839478047,60,9/12/13,9,September,Summer,2013,beef,STEC,Class I,TRUE,FALSE
260,052-2013,420,2.624282096,390,9/13/13,9,September,Summer,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
261,053-2013,169655,5.229569223,2509,9/16/13,9,September,Summer,2013,mixed,Other,Class I,TRUE,FALSE
262,054-2013,58240,4.765228823,48760,9/19/13,9,September,Summer,2013,beef,Extraneous Material,Class I,TRUE,FALSE
263,055-2013,132950,5.123691608,107206,9/25/13,9,September,Autumn,2013,mixed,Other,Class I,TRUE,FALSE
264,056-2013,17194,4.23540218,NA,9/27/13,9,September,Autumn,2013,mixed,Undeclared Allergen,Class II,TRUE,FALSE
265,057-2013,89720,4.952894105,74120,10/1/13,10,October,Autumn,2013,beef,Extraneous Material,Class III,TRUE,FALSE
266,058-2013,39755,4.599402682,1260,10/12/13,10,October,Autumn,2013,poultry,Salmonella,Class I,TRUE,FALSE
267,060-2013,NA,NA,NA,10/22/13,10,October,Autumn,2013,beef,STEC,Class I,TRUE,FALSE
268,059-2013,22800,4.357953895,NA,10/22/13,10,October,Autumn,2013,mixed,Listeria,Class I,TRUE,FALSE
269,061-2013,222959,5.348226956,1930,10/24/13,10,October,Autumn,2013,poultry,Listeria,Class I,TRUE,FALSE
270,062-2013,27933,4.446133129,2602,10/25/13,10,October,Autumn,2013,mixed,Listeria,Class I,TRUE,FALSE
271,063-2013,13118,4.117900732,113,10/26/13,10,October,Autumn,2013,mixed,Other,Class II,TRUE,FALSE
272,064-2013,809,2.908485019,1,11/7/13,11,November,Autumn,2013,poultry,Undeclared Substance,Class III,TRUE,FALSE
273,065-2013,181620,5.259166063,112,11/10/13,11,November,Autumn,2013,mixed,STEC,Class I,TRUE,FALSE
274,066-2013,251,2.401400541,NA,11/13/13,11,November,Autumn,2013,poultry,Other,Class I,TRUE,FALSE
275,069-2013,5616,3.749504424,3122,11/22/13,11,November,Autumn,2013,mixed,Undeclared Allergen,Class I,TRUE,FALSE
276,068-2013,156924,5.195692137,37064,11/22/13,11,November,Autumn,2013,poultry,Undeclared Allergen,Class I,TRUE,FALSE
277,067-2013,101,2.008600172,NA,11/22/13,11,November,Autumn,2013,pork,Other,Class II,TRUE,FALSE
278,070-2013,3536,3.54863506,1429,11/27/13,11,November,Autumn,2013,pork,Other,Class III,TRUE,FALSE
279,072-2013,22368,4.34964657,4656,12/6/13,12,December,Autumn,2013,poultry,Undeclared Allergen,Class II,TRUE,FALSE
280,071-2013,2600,3.415140352,NA,12/6/13,12,December,Autumn,2013,pork,Listeria,Class I,TRUE,FALSE
281,073-2013,90000,4.954247335,14415,12/9/13,12,December,Autumn,2013,mixed,Other,Class I,TRUE,FALSE
282,074-2013,740,2.869818208,740,12/19/13,12,December,Autumn,2013,mixed,Processing Defect,Class I,TRUE,FALSE
283,075-2013,24784,4.394188923,NA,12/20/13,12,December,Autumn,2013,poultry,Other,Class I,TRUE,FALSE
284,001-2012,3104,3.492061605,3104,1/14/12,1,January,Winter,2012,beef,Extraneous Material,Class I,TRUE,FALSE
285,003-2012,118,2.075546961,29,1/27/12,1,January,Winter,2012,mixed,Listeria,Class I,TRUE,FALSE
286,002-2012,2645,3.42258984,150,1/27/12,1,January,Winter,2012,beef,Undeclared Allergen,Class I,TRUE,FALSE
287,004-2012,23,1.380211242,NA,2/2/12,2,February,Winter,2012,mixed,Listeria,Class I,TRUE,FALSE
288,006-2012,389,2.591064607,245,2/3/12,2,February,Winter,2012,mixed,Listeria,Class I,TRUE,FALSE
289,005-2012,515,2.712649702,253,2/3/12,2,February,Winter,2012,mixed,Listeria,Class I,TRUE,FALSE
290,007-2012,1200,3.079543007,0,2/7/12,2,February,Winter,2012,poultry,Listeria,Class I,TRUE,FALSE
291,008-2012,25600,4.40825693,4131,2/10/12,2,February,Winter,2012,pork,Undeclared Allergen,Class II,TRUE,FALSE
292,009-2012,NA,NA,1298044,2/15/12,2,February,Winter,2012,mixed,Other,Class I,TRUE,FALSE
293,010-2012,3800,3.57989787,624,2/16/12,2,February,Winter,2012,mixed,Other,Class I,TRUE,FALSE
294,011-2012,200,2.303196057,45,2/27/12,2,February,Winter,2012,mixed,Undeclared Substance,Class III,TRUE,FALSE
295,012-2012,147,2.170261715,147,3/2/12,3,March,Winter,2012,mixed,Other,Class II,TRUE,FALSE
296,013-2012,12060,4.081383317,12060,3/6/12,3,March,Winter,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
297,014-2012,1784,3.25163822,870,3/17/12,3,March,Winter,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
298,015-2012,84587,4.927308757,0,3/19/12,3,March,Winter,2012,pork,Other,Class III,TRUE,FALSE
299,016-2012,2373,3.375480715,1923,3/21/12,3,March,Spring,2012,beef,Listeria,Class I,TRUE,FALSE
300,017-2012,16800,4.225335132,4386,3/24/12,3,March,Spring,2012,beef,STEC,Class I,TRUE,FALSE
301,018-2012,64020,4.806322453,14355,3/26/12,3,March,Spring,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
302,019-2012,1100,3.041787319,NA,3/29/12,3,March,Spring,2012,beef,Listeria,Class I,TRUE,FALSE
303,020-2012,187,2.274157849,187,3/30/12,3,March,Spring,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
304,021-2012,26136,4.417255738,37512,3/31/12,3,March,Spring,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
305,022-2012,5400,3.732474177,1452,4/3/12,4,April,Spring,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
306,023-2012,50820,4.706043206,NA,4/6/12,4,April,Spring,2012,pork,Undeclared Substance,Class III,TRUE,FALSE
307,024-2012,2057,3.31344537,1900,4/11/12,4,April,Spring,2012,beef,STEC,Class I,TRUE,FALSE
308,025-2012,16890,4.227655362,0,4/17/12,4,April,Spring,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
309,027-2012,311,2.494154594,310,4/20/12,4,April,Spring,2012,mixed,Listeria,Class I,TRUE,FALSE
310,026-2012,3000,3.477265995,360,4/20/12,4,April,Spring,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
311,028-2012,5156,3.712397131,1338,5/10/12,5,May,Spring,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
312,030-2012,20520,4.31219852,5951,5/17/12,5,May,Spring,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
313,029-2012,3300,3.518645524,155,5/17/12,5,May,Spring,2012,beef,Other,Class II,TRUE,FALSE
314,031-2012,15040,4.177276711,3225,5/18/12,5,May,Spring,2012,poultry,Undeclared Allergen,Class II,TRUE,FALSE
315,032-2012,456,2.6599162,132,5/19/12,5,May,Spring,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
316,033-2012,13776,4.139154658,5448,5/22/12,5,May,Spring,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
317,035-2012,100,2.004321374,0,5/24/12,5,May,Spring,2012,poultry,Undeclared Allergen,Class II,TRUE,FALSE
318,034-2012,3660,3.563599729,NA,5/24/12,5,May,Spring,2012,mixed,Undeclared Allergen,Class II,TRUE,FALSE
319,036-2012,13200,4.120606831,559,6/1/12,6,June,Spring,2012,pork,Undeclared Allergen,Class II,TRUE,FALSE
320,037-2012,400,2.603144373,NA,6/2/12,6,June,Spring,2012,pork,Listeria,Class I,TRUE,FALSE
321,038-2012,96408,4.984117578,53340,6/6/12,6,June,Spring,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
322,039-2012,55757,4.746307188,400,6/11/12,6,June,Spring,2012,pork,Undeclared Substance,Class III,TRUE,FALSE
323,040-2012,3534,3.548389418,848,6/13/12,6,June,Spring,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
324,041-2012,1350,3.130655349,1075,6/21/12,6,June,Summer,2012,pork,Extraneous Material,Class III,TRUE,FALSE
325,042-2012,324770,5.511577243,87550,7/7/12,7,July,Summer,2012,mixed,Listeria,Class I,TRUE,FALSE
326,043-2012,94850,4.977041914,34305,7/13/12,7,July,Summer,2012,mixed,Extraneous Material,Class II,TRUE,FALSE
327,044-2012,72510,4.860403895,55050,7/19/12,7,July,Summer,2012,mixed,Listeria,Class I,TRUE,FALSE
328,045-2012,29339,4.46746011,0,7/22/12,7,July,Summer,2012,beef,Salmonella,Class I,TRUE,FALSE
329,046-2012,79,1.903089987,0,7/26/12,7,July,Summer,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
330,050-2012,70500,4.848195277,33404,7/27/12,7,July,Summer,2012,poultry,Undeclared Allergen,Class II,TRUE,FALSE
331,049-2012,314,2.498310554,815,7/27/12,7,July,Summer,2012,mixed,Listeria,Class I,TRUE,FALSE
332,048-2012,735,2.866877814,622,7/27/12,7,July,Summer,2012,poultry,Listeria,Class I,TRUE,FALSE
333,047-2012,5610,3.749040269,2681,7/27/12,7,July,Summer,2012,poultry,Listeria,Class I,TRUE,FALSE
334,051-2012,13600,4.133570841,13600,8/1/12,8,August,Summer,2012,mixed,Listeria,Class I,TRUE,FALSE
335,052-2012,37600,4.575199395,9778,8/2/12,8,August,Summer,2012,mixed,Extraneous Material,Class II,TRUE,FALSE
336,053-2012,15880,4.200877846,11416,8/5/12,8,August,Summer,2012,mixed,Listeria,Class I,TRUE,FALSE
337,054-2012,6210,3.793161529,594,8/6/12,8,August,Summer,2012,mixed,Undeclared Substance,Class III,TRUE,FALSE
338,055-2012,38200,4.582074732,327700,8/14/12,8,August,Summer,2012,beef,STEC,Class I,TRUE,FALSE
339,057-2012,48000,4.681250285,14534,8/15/12,8,August,Summer,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
340,056-2012,4100,3.612889769,0,8/15/12,8,August,Summer,2012,mixed,Extraneous Material,Class II,TRUE,FALSE
341,059-2012,77688,4.890359531,32391,8/16/12,8,August,Summer,2012,poultry,Salmonella,Class I,TRUE,FALSE
342,058-2012,605,2.782472624,653,8/16/12,8,August,Summer,2012,beef,Other,Class III,TRUE,FALSE
343,060-2012,2920,3.465531557,683,8/30/12,8,August,Summer,2012,mixed,Extraneous Material,Class III,TRUE,FALSE
344,061-2012,2250,3.352375495,1568,9/14/12,9,September,Summer,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
345,062-2012,1305,3.115943177,575,9/21/12,9,September,Summer,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
346,063-2012,16576,4.219505937,0,9/28/12,9,September,Autumn,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
347,064-2012,3744,3.573451822,1044,10/5/12,10,October,Autumn,2012,poultry,Undeclared Allergen,Class II,TRUE,FALSE
348,065-2012,67269,4.827821428,6910,10/10/12,10,October,Autumn,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
349,066-2012,8200,3.913866812,NA,10/15/12,10,October,Autumn,2012,mixed,Other,Class I,TRUE,FALSE
350,069-2012,4100,3.612889769,4787,10/22/12,10,October,Autumn,2012,beef,STEC,Class I,TRUE,FALSE
351,068-2012,2310,3.363799945,289,10/22/12,10,October,Autumn,2012,beef,STEC,Class I,TRUE,FALSE
352,067-2012,1768600,6.247629866,13500,10/22/12,10,October,Autumn,2012,mixed,Undeclared Substance,Class III,TRUE,FALSE
353,070-2012,11400,4.056942946,27623,10/30/12,10,October,Autumn,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
354,071-2012,1440,3.158663981,932,11/1/12,11,November,Autumn,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
355,072-2012,28528,4.455286549,26662,11/2/12,11,November,Autumn,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
356,073-2012,99,2,48,11/9/12,11,November,Autumn,2012,beef,Other,Class II,TRUE,FALSE
357,074-2012,90975,4.958926838,NA,11/13/12,11,November,Autumn,2012,mixed,Processing Defect,Class I,TRUE,FALSE
358,075-2012,16100,4.20685285,5102,11/20/12,11,November,Autumn,2012,mixed,Extraneous Material,Class III,TRUE,FALSE
359,076-2012,1331,3.124504225,1340,11/21/12,11,November,Autumn,2012,poultry,Undeclared Substance,Class III,TRUE,FALSE
360,077-2012,271,2.434568904,66,11/29/12,11,November,Autumn,2012,mixed,Undeclared Substance,Class III,TRUE,FALSE
361,078-2012,2375,3.375846436,58,12/4/12,12,December,Autumn,2012,beef,Other,Class I,TRUE,FALSE
362,079-2012,35800,4.553895158,16024,12/6/12,12,December,Autumn,2012,poultry,Extraneous Material,Class II,TRUE,FALSE
363,080-2012,2650,3.423409728,2681,12/14/12,12,December,Autumn,2012,mixed,Undeclared Allergen,Class I,TRUE,FALSE
364,082-2012,2320,3.36567514,1476,12/21/12,12,December,Autumn,2012,poultry,Undeclared Allergen,Class I,TRUE,FALSE
365,081-2012,6039,3.781036939,2685,12/21/12,12,December,Autumn,2012,pork,Undeclared Allergen,Class I,TRUE,FALSE
366,001-2011,600,2.778874472,450,1/3/11,1,January,Winter,2011,poultry,Undeclared Substance,Class III,TRUE,FALSE
367,002-2011,144633,5.160270397,20012,1/6/11,1,January,Winter,2011,mixed,Undeclared Allergen,Class I,TRUE,FALSE
368,003-2011,247800,5.394103055,38600,1/10/11,1,January,Winter,2011,beef,Other,Class II,TRUE,FALSE
369,004-2011,101629,5.007021926,15589,1/11/11,1,January,Winter,2011,mixed,Undeclared Substance,Class III,FALSE,FALSE
370,005-2011,2234,3.349277527,9123,1/14/11,1,January,Winter,2011,beef,Other,Class II,TRUE,FALSE
371,006-2011,7875,3.896305707,23,1/18/11,1,January,Winter,2011,beef,Listeria,Class I,TRUE,FALSE
372,007-2011,654,2.8162413,42,1/28/11,1,January,Winter,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
373,008-2011,3170,3.501196242,1788,2/5/11,2,February,Winter,2011,beef,STEC,Class I,TRUE,FALSE
374,009-2011,4680,3.670338641,1650,2/9/11,2,February,Winter,2011,pork,Undeclared Allergen,Class I,TRUE,FALSE
375,010-2011,NA,NA,63756,2/16/11,2,February,Winter,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
376,011-2011,1050,3.021602716,0,2/23/11,2,February,Winter,2011,poultry,Other,Class III,TRUE,FALSE
377,012-2011,NA,NA,452,2/24/11,2,February,Winter,2011,mixed,Other,Class I,TRUE,FALSE
378,014-2011,3339,3.523746467,1827,2/25/11,2,February,Winter,2011,poultry,Other,Class II,TRUE,FALSE
379,013-2011,87,1.944482672,24,2/25/11,2,February,Winter,2011,poultry,Undeclared Substance,Class III,TRUE,FALSE
380,015-2011,775,2.889861721,104,2/28/11,2,February,Winter,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
381,016-2011,64000,4.80618676,5937,3/1/11,3,March,Winter,2011,mixed,Listeria,Class I,TRUE,FALSE
382,017-2011,14158,4.151032582,7445,3/8/11,3,March,Winter,2011,beef,STEC,Class I,TRUE,FALSE
383,018-2011,2997,3.476831629,77,3/9/11,3,March,Winter,2011,mixed,Processing Defect,Class I,TRUE,FALSE
384,020-2011,5125,3.709778602,3839,3/11/11,3,March,Winter,2011,poultry,Undeclared Allergen,Class II,TRUE,FALSE
385,019-2011,83,1.924279286,26,3/11/11,3,March,Winter,2011,mixed,Undeclared Allergen,Class I,TRUE,FALSE
386,021-2011,10260,4.011189688,0,3/14/11,3,March,Winter,2011,mixed,Extraneous Material,Class II,TRUE,FALSE
387,022-2011,612,2.787460475,423,3/15/11,3,March,Winter,2011,pork,Undeclared Substance,Class III,TRUE,FALSE
388,023-2011,2790,3.445759836,5648,3/17/11,3,March,Winter,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
389,024-2011,2130,3.32858345,333,3/21/11,3,March,Spring,2011,pork,Undeclared Substance,Class III,TRUE,FALSE
390,025-2011,23000,4.361746718,19,3/22/11,3,March,Spring,2011,mixed,STEC,Class I,TRUE,FALSE
391,026-2011,131000,5.117274611,101216,3/29/11,3,March,Spring,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
392,027-2011,53210,4.726001421,9210,3/31/11,3,March,Spring,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
393,028-2011,54960,4.740054626,52508,4/1/11,4,April,Spring,2011,poultry,Salmonella,Class I,TRUE,FALSE
394,029-2011,87,1.944482672,44,4/27/11,4,April,Spring,2011,poultry,Undeclared Allergen,Class II,TRUE,FALSE
395,030-2011,772,2.888179494,771,4/29/11,4,April,Spring,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
396,031-2011,188181,5.27457808,188181,4/30/11,4,April,Spring,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
397,033-2011,22000,4.342442421,731,5/4/11,5,May,Spring,2011,mixed,Salmonella,Class I,TRUE,FALSE
398,032-2011,216238,5.334934024,7633,5/4/11,5,May,Spring,2011,pork,Undeclared Allergen,Class I,TRUE,FALSE
399,035-2011,18648,4.270655549,25313,5/6/11,5,May,Spring,2011,poultry,Undeclared Allergen,Class II,TRUE,FALSE
400,034-2011,285100,5.454998741,6340,5/6/11,5,May,Spring,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
401,036-2011,252,2.403120521,17,5/11/11,5,May,Spring,2011,beef,Undeclared Substance,Class III,TRUE,FALSE
402,037-2011,15900,4.201424438,2005,5/13/11,5,May,Spring,2011,mixed,Listeria,Class I,TRUE,FALSE
403,R01-2011,500,2.699837726,0,5/25/11,5,May,Spring,2011,beef,STEC,Class I,TRUE,FALSE
404,038-2011,770,2.887054378,0,5/27/11,5,May,Spring,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
405,039-2011,900,2.954724791,NA,5/31/11,5,May,Spring,2011,beef,STEC,Class I,TRUE,FALSE
406,040-2011,22594,4.354012346,2614,6/2/11,6,June,Spring,2011,mixed,Undeclared Substance,Class III,TRUE,FALSE
407,041-2011,84000,4.924284456,15402,6/10/11,6,June,Spring,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
408,042-2011,5160,3.712733859,6698,6/15/11,6,June,Spring,2011,mixed,Undeclared Allergen,Class I,TRUE,FALSE
409,043-2011,3200,3.505285674,526,6/21/11,6,June,Spring,2011,mixed,Other,Class I,TRUE,FALSE
410,044-2011,36,1.568201724,27,6/22/11,6,June,Summer,2011,pork,Undeclared Allergen,Class I,TRUE,FALSE
411,045-2011,5700,3.755951041,2684,6/24/11,6,June,Summer,2011,pork,Listeria,Class I,TRUE,FALSE
412,046-2011,18416,4.265218888,1884,7/5/11,7,July,Summer,2011,pork,Listeria,Class I,TRUE,FALSE
413,047-2011,1550,3.190611798,0,7/6/11,7,July,Summer,2011,mixed,Listeria,Class I,TRUE,FALSE
414,049-2011,197,2.29666519,169,7/14/11,7,July,Summer,2011,poultry,Salmonella,Class I,TRUE,FALSE
415,048-2011,137,2.139879086,109,7/14/11,7,July,Summer,2011,poultry,Salmonella,Class I,TRUE,FALSE
416,050-2011,7105,3.851625203,0,7/19/11,7,July,Summer,2011,mixed,Listeria,Class I,TRUE,FALSE
417,051-2011,4530,3.656194062,630,7/20/11,7,July,Summer,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
418,052-2011,18412,4.265124553,6440,7/20/11,7,July,Summer,2011,poultry,Listeria,Class I,TRUE,FALSE
419,055-2011,2900,3.462547729,2300,7/22/11,7,July,Summer,2011,pork,Listeria,Class I,TRUE,FALSE
420,054-2011,2560,3.408409578,228,7/22/11,7,July,Summer,2011,beef,Other,Class II,TRUE,FALSE
421,053-2011,6200,3.792461731,951,7/22/11,7,July,Summer,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
422,057-2011,6240,3.795254183,319807,7/27/11,7,July,Summer,2011,beef,Other,Class II,TRUE,FALSE
423,056-2011,228596,5.359070527,228596,7/27/11,7,July,Summer,2011,beef,STEC,Class I,TRUE,FALSE
424,059-2011,NA,NA,NA,7/28/11,7,July,Summer,2011,mixed,Other,Class I,TRUE,FALSE
425,058-2011,33,1.531478917,0,7/28/11,7,July,Summer,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
426,060-2011,3.60E+07,7.556302513,2029374,8/3/11,8,August,Summer,2011,poultry,Salmonella,Class I,TRUE,FALSE
427,061-2011,10668,4.028123715,7545,8/5/11,8,August,Summer,2011,beef,Extraneous Material,Class III,TRUE,FALSE
428,062-2011,2200,3.342620043,423,8/9/11,8,August,Summer,2011,beef,STEC,Class I,TRUE,FALSE
429,064-2011,60424,4.781216659,13192,8/12/11,8,August,Summer,2011,beef,STEC,Class I,TRUE,FALSE
430,063-2011,380000,5.579784739,52500,8/12/11,8,August,Summer,2011,pork,Listeria,Class I,TRUE,FALSE
431,065-2011,24,1.397940009,23,8/15/11,8,August,Summer,2011,mixed,Undeclared Allergen,Class I,TRUE,FALSE
432,066-2011,1642,3.215637563,5459,8/19/11,8,August,Summer,2011,beef,Extraneous Material,Class III,TRUE,FALSE
433,069-2011,229,2.361727836,NA,8/26/11,8,August,Summer,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
434,070-2011,599,2.77815125,599,8/26/11,8,August,Summer,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
435,068-2011,52191,4.717603939,4193,8/26/11,8,August,Summer,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
436,067-2011,28782,4.459136058,5080,8/26/11,8,August,Summer,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
437,071-2011,185000,5.267174076,13677,9/11/11,9,September,Summer,2011,poultry,Salmonella,Class I,TRUE,FALSE
438,072-2011,11000,4.041432165,2262,9/20/11,9,September,Summer,2011,mixed,Undeclared Allergen,Class I,TRUE,FALSE
439,073-2011,360,2.557507202,319,9/21/11,9,September,Summer,2011,poultry,Processing Defect,Class I,TRUE,FALSE
440,074-2011,72,1.86332286,22,9/22/11,9,September,Summer,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
441,075-2011,40000,4.602070849,40000,9/23/11,9,September,Summer,2011,beef,STEC,Class I,TRUE,FALSE
442,076-2011,5550,3.744371227,18,9/26/11,9,September,Autumn,2011,pork,Extraneous Material,Class I,TRUE,FALSE
443,077-2011,131300,5.118268034,18,9/27/11,9,September,Autumn,2011,beef,STEC,Class I,TRUE,FALSE
444,078-2011,80000,4.903095416,113016,9/30/11,9,September,Autumn,2011,beef,STEC,Class I,TRUE,FALSE
445,079-2011,57,1.763427994,NA,10/1/11,10,October,Autumn,2011,mixed,Salmonella,Class I,TRUE,FALSE
446,080-2011,377775,5.577234364,8473,10/11/11,10,October,Autumn,2011,beef,STEC,Class I,TRUE,FALSE
447,081-2011,875,2.942504106,869,10/12/11,10,October,Autumn,2011,beef,Undeclared Allergen,Class II,TRUE,FALSE
448,082-2011,15760,4.197583769,9451,10/13/11,10,October,Autumn,2011,poultry,Other,Class II,TRUE,FALSE
449,083-2011,NA,NA,704,10/14/11,10,October,Autumn,2011,mixed,Other,Class I,TRUE,FALSE
450,084-2011,2325,3.36660971,NA,10/20/11,10,October,Autumn,2011,poultry,Undeclared Allergen,Class II,TRUE,FALSE
451,085-2011,22100,4.344411925,1665,10/25/11,10,October,Autumn,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
452,086-2011,4100,3.612889769,759,10/26/11,10,October,Autumn,2011,mixed,Other,Class I,TRUE,FALSE
453,087-2011,8888,3.948852906,2840,10/27/11,10,October,Autumn,2011,mixed,Undeclared Substance,Class III,TRUE,FALSE
454,088-2011,11390,4.056561852,3440,10/31/11,10,October,Autumn,2011,poultry,Extraneous Material,Class II,TRUE,FALSE
455,089-2011,126,2.103803721,41,11/7/11,11,November,Autumn,2011,beef,Salmonella,Class I,TRUE,FALSE
456,090-2011,NA,NA,530,11/8/11,11,November,Autumn,2011,poultry,Salmonella,Class I,TRUE,FALSE
457,091-2011,63,1.806179974,22,11/14/11,11,November,Autumn,2011,beef,Undeclared Substance,Class III,TRUE,FALSE
458,092-2011,1080,3.033825694,187,11/23/11,11,November,Autumn,2011,poultry,Undeclared Allergen,Class I,TRUE,FALSE
459,093-2011,1010,3.004751156,460,11/28/11,11,November,Autumn,2011,mixed,Undeclared Allergen,Class II,TRUE,FALSE
