Red meat and poultry production (million pounds),,,,,,,,,,,,,,,
Type 1/,Commercial 2/,,,,,,,,,,Federally inspected,,,,
,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Beef 3/,Veal 3/,Pork 3/,Lamb and mutton 3/,Total red meat 3/ 4/,Broilers 5/,Other chicken 5/,Turkey 5/,Total poultry 4/ 5/ 6/,Total red meat and poultry 4/
Dec-1985,1855.00,46.00,1215.00,30.00,3145.40,1774.00,41.00,1171.00,29.00,3016.00,1094.08,,210.72,1356.01,4372.01
Nov-1985,1812.00,42.00,1241.00,28.00,3123.00,1735.00,37.00,1206.00,27.00,3005.00,997.77,,282.54,1319.63,4324.63
Oct-1985,2108.00,46.00,1358.00,33.00,3544.00,2029.00,41.00,1321.00,32.00,3422.00,1252.53,,341.53,1644.22,5066.22
Sep-1985,1985.00,42.00,1196.00,28.00,3251.60,1917.00,37.00,1163.00,27.00,3144.00,1081.90,,288.26,1415.43,4559.43
Aug-1985,2123.00,41.00,1210.00,29.00,3402.00,2051.00,36.00,1177.00,28.00,3291.00,1198.41,,295.20,1540.45,4831.45
Jul-1985,2059.00,43.00,1147.00,28.00,3276.70,1993.00,39.00,1114.00,27.00,3173.00,1203.27,,271.12,1522.53,4695.53
Jun-1985,1898.00,37.00,1125.00,24.00,3084.60,1836.00,33.00,1095.00,24.00,2988.00,1094.83,,238.49,1376.27,4364.27
May-1985,2089.00,42.00,1329.00,29.00,3487.90,2020.00,37.00,1295.00,28.00,3380.00,1221.50,,212.50,1486.69,4866.69
Apr-1985,1936.00,41.00,1289.00,30.00,3295.10,1868.00,36.00,1254.00,29.00,3187.00,1196.62,,177.27,1431.11,4618.11
Mar-1985,1858.00,40.00,1232.00,33.00,3162.10,1791.00,35.00,1198.00,32.00,3057.00,1082.49,,176.38,1311.71,4368.71
Feb-1985,1768.00,37.00,1105.00,28.00,2938.30,1706.00,33.00,1074.00,27.00,2839.00,991.48,,147.96,1189.50,4028.50
Jan-1985,2066.00,42.00,1281.00,32.00,3420.50,1989.00,37.00,1243.00,31.00,3300.00,1154.91,,157.72,1377.72,4677.72
Dec-1984,1830.00,39.00,1220.00,30.00,3119.00,1745.00,33.00,1177.00,30.00,2984.00,995.36,,182.81,1230.02,4214.02
Nov-1984,1924.00,43.00,1326.00,30.00,3323.90,1840.00,37.00,1286.00,30.00,3192.00,1018.69,,271.70,1338.36,4530.36
Oct-1984,2182.00,46.00,1411.00,33.00,3671.70,2095.00,39.00,1372.00,32.00,3537.00,1212.77,,320.76,1595.63,5132.63
Sep-1984,1904.00,39.00,1139.00,29.00,3110.80,1831.00,32.00,1106.00,28.00,2997.00,1026.06,,255.40,1330.31,4327.31
Aug-1984,2112.00,44.00,1175.00,31.00,3362.00,2039.00,38.00,1140.00,30.00,3248.00,1210.49,,279.59,1544.86,4792.86
Jul-1984,1936.00,40.00,1041.00,28.00,3044.70,1865.00,35.00,1009.00,27.00,2936.00,1102.66,,242.26,1395.63,4331.63
Jun-1984,1984.00,38.00,1156.00,27.00,3204.90,1917.00,31.00,1123.00,27.00,3098.00,1113.49,,223.59,1393.24,4491.24
May-1984,2060.00,39.00,1281.00,31.00,3410.60,1989.00,33.00,1246.00,31.00,3299.00,1184.43,,202.63,1442.42,4741.42
Apr-1984,1776.00,36.00,1233.00,34.00,3079.40,1708.00,31.00,1200.00,33.00,2971.00,1052.23,,163.07,1263.71,4234.71
Mar-1984,1937.00,40.00,1338.00,35.00,3348.90,1864.00,34.00,1301.00,34.00,3233.00,1069.00,,155.14,1269.63,4502.63
Feb-1984,1859.00,36.00,1165.00,32.00,3092.20,1785.00,32.00,1129.00,32.00,2977.00,984.49,,139.04,1167.52,4144.52
Jan-1984,1914.00,39.00,1235.00,31.00,3219.10,1830.00,33.00,1194.00,30.00,3087.00,1028.93,,138.11,1209.75,4296.75
Dec-1983,1965.00,37.00,1350.00,30.00,3383.20,1876.00,32.00,1301.00,30.00,3238.00,941.61,,188.99,1171.81,4409.81
Nov-1983,1935.00,39.00,1468.00,29.00,3471.80,1839.00,32.00,1421.00,28.00,3321.00,937.21,,288.75,1266.08,4587.08
Oct-1983,2062.00,41.00,1388.00,32.00,3523.10,1966.00,33.00,1347.00,31.00,3376.00,1038.44,,281.30,1368.07,4744.07
Sep-1983,2090.00,38.00,1273.00,33.00,3434.70,2004.00,32.00,1236.00,32.00,3304.00,1044.75,,263.70,1357.43,4661.43
Aug-1983,2118.00,39.00,1250.00,33.00,3439.70,2036.00,32.00,1213.00,32.00,3314.00,1113.07,,271.83,1435.13,4749.13
Jul-1983,1807.00,33.00,1134.00,28.00,3002.30,1735.00,28.00,1103.00,27.00,2893.00,977.35,,224.77,1246.79,4139.79
Jun-1983,1970.00,34.00,1266.00,29.00,3298.70,1892.00,28.00,1230.00,28.00,3179.00,1125.25,,231.30,1408.93,4587.93
May-1983,1859.00,32.00,1243.00,30.00,3163.30,1783.00,27.00,1208.00,29.00,3047.00,1096.25,,183.72,1329.39,4376.39
Apr-1983,1727.00,32.00,1262.00,30.00,3051.30,1650.00,26.00,1227.00,29.00,2933.00,1054.29,,166.50,1274.82,4207.82
Mar-1983,1892.00,37.00,1303.00,36.00,3268.70,1808.00,32.00,1265.00,36.00,3141.00,1106.18,,182.68,1348.98,4489.98
Feb-1983,1707.00,32.00,1021.00,27.00,2786.70,1632.00,26.00,988.00,26.00,2673.00,933.56,,135.48,1116.63,3789.63
Jan-1983,1928.00,34.00,1159.00,30.00,3150.70,1837.00,28.00,1119.00,29.00,3013.00,1021.00,,144.06,1223.15,4236.15
Dec-1982,,,,,,,,,,,971.29,,192.74,1222.83,
Nov-1982,,,,,,,,,,,929.77,,289.80,1269.63,
Oct-1982,,,,,,,,,,,1010.41,,276.60,1337.32,
Sep-1982,,,,,,,,,,,1043.13,,267.70,1363.93,
Aug-1982,,,,,,,,,,,1057.17,,265.43,1376.75,
Jul-1982,,,,,,,,,,,1029.47,,228.33,1305.66,
Jun-1982,,,,,,,,,,,1085.18,,216.22,1360.39,
May-1982,,,,,,,,,,,1006.15,,164.26,1223.12,
Apr-1982,,,,,,,,,,,1018.05,,147.38,1226.73,
Mar-1982,,,,,,,,,,,1052.43,,154.91,1267.41,
Feb-1982,,,,,,,,,,,902.23,,123.34,1074.83,
Jan-1982,,,,,,,,,,,933.75,,132.15,1117.02,
Dec-1981,,,,,,,,,,,973.50,,204.24,1232.24,
Nov-1981,,,,,,,,,,,872.55,,278.28,1193.06,
Oct-1981,,,,,,,,,,,1033.72,,290.08,1375.89,
Sep-1981,,,,,,,,,,,1039.72,,273.06,1365.14,
Aug-1981,,,,,,,,,,,1003.81,,261.70,1313.95,
Jul-1981,,,,,,,,,,,1037.42,,250.45,1335.27,
Jun-1981,,,,,,,,,,,1042.81,,225.66,1323.40,
May-1981,,,,,,,,,,,1025.78,,178.28,1259.32,
Apr-1981,,,,,,,,,,,1026.97,,149.25,1238.06,
Mar-1981,,,,,,,,,,,1010.65,,136.36,1210.14,
Feb-1981,,,,,,,,,,,864.17,,119.63,1036.83,
Jan-1981,,,,,,,,,,,974.62,,142.09,1175.11,
Dec-1980,,,,,,,,,,,940.42,,190.79,1182.08,
Nov-1980,,,,,,,,,,,796.10,,246.30,1084.03,
Oct-1980,,,,,,,,,,,997.25,,276.76,1332.40,
Sep-1980,,,,,,,,,,,941.77,,244.31,1233.95,
Aug-1980,,,,,,,,,,,913.79,,226.97,1178.29,
Jul-1980,,,,,,,,,,,936.33,,240.34,1216.19,
Jun-1980,,,,,,,,,,,976.19,,206.95,1231.50,
May-1980,,,,,,,,,,,1006.74,,178.37,1239.25,
Apr-1980,,,,,,,,,,,1009.01,,142.99,1215.52,
Mar-1980,,,,,,,,,,,920.01,,127.93,1105.77,
Feb-1980,,,,,,,,,,,872.72,,109.41,1044.64,
Jan-1980,,,,,,,,,,,962.04,,141.24,1169.29,
Dec-1979,,,,,,,,,,,807.24,,165.50,1019.45,
Nov-1979,,,,,,,,,,,820.10,,261.87,1128.09,
Oct-1979,,,,,,,,,,,1037.97,,297.50,1398.68,
Sep-1979,,,,,,,,,,,863.20,,233.01,1148.08,
Aug-1979,,,,,,,,,,,1026.35,,267.75,1354.07,
Jul-1979,,,,,,,,,,,965.26,,219.22,1233.92,
Jun-1979,,,,,,,,,,,940.72,,195.94,1187.91,
May-1979,,,,,,,,,,,1013.48,,157.26,1224.75,
Apr-1979,,,,,,,,,,,889.79,,112.25,1059.20,
Mar-1979,,,,,,,,,,,904.99,,94.96,1055.97,
Feb-1979,,,,,,,,,,,749.13,,77.18,872.91,
Jan-1979,,,,,,,,,,,897.32,,99.35,1049.93,
Dec-1978,,,,,,,,,,,767.31,,156.32,970.40,
Nov-1978,,,,,,,,,,,779.14,,248.92,1073.84,
Oct-1978,,,,,,,,,,,896.43,,271.19,1220.23,
Sep-1978,,,,,,,,,,,834.05,,230.91,1110.81,
Aug-1978,,,,,,,,,,,930.78,,248.85,1225.17,
Jul-1978,,,,,,,,,,,801.70,,199.90,1044.26,
Jun-1978,,,,,,,,,,,874.90,,189.50,1118.68,
May-1978,,,,,,,,,,,902.64,,129.32,1080.19,
Apr-1978,,,,,,,,,,,769.11,,80.76,893.83,
Mar-1978,,,,,,,,,,,830.00,,86.31,972.23,
Feb-1978,,,,,,,,,,,715.73,,59.67,824.50,
Jan-1978,,,,,,,,,,,781.42,,81.82,913.27,
Dec-1977,,,,,,,,,,,753.15,,148.21,950.08,
Nov-1977,,,,,,,,,,,719.75,,246.83,1010.88,
Oct-1977,,,,,,,,,,,775.51,,250.29,1073.43,
Sep-1977,,,,,,,,,,,808.22,,238.23,1095.42,
Aug-1977,,,,,,,,,,,870.36,,244.38,1159.10,
Jul-1977,,,,,,,,,,,745.54,,189.60,971.38,
Jun-1977,,,,,,,,,,,843.73,,176.48,1075.24,
May-1977,,,,,,,,,,,809.88,,110.01,969.67,
Apr-1977,,,,,,,,,,,744.90,,78.94,877.09,
Mar-1977,,,,,,,,,,,783.21,,80.26,918.94,
Feb-1977,,,,,,,,,,,659.24,,58.71,763.90,
Jan-1977,,,,,,,,,,,713.79,,70.54,831.47,
Dec-1976,,,,,,,,,,,716.84,,146.45,908.21,
Nov-1976,,,,,,,,,,,699.18,,261.46,1001.90,
Oct-1976,,,,,,,,,,,769.49,,256.59,1072.55,
Sep-1976,,,,,,,,,,,800.33,,252.75,1101.88,
Aug-1976,,,,,,,,,,,805.20,,243.79,1093.24,
Jul-1976,,,,,,,,,,,766.04,,213.91,1024.68,
Jun-1976,,,,,,,,,,,825.89,,182.18,1055.78,
May-1976,,,,,,,,,,,745.40,,106.50,891.65,
Apr-1976,,,,,,,,,,,742.46,,79.87,876.08,
Mar-1976,,,,,,,,,,,771.91,,68.63,890.38,
Feb-1976,,,,,,,,,,,632.28,,61.74,738.96,
Jan-1976,,,,,,,,,,,712.25,,76.25,835.95,
Dec-1975,,,,,,,,,,,691.42,,157.46,893.55,
Nov-1975,,,,,,,,,,,560.74,,220.24,817.74,
Oct-1975,,,,,,,,,,,739.81,,257.48,1045.65,
Sep-1975,,,,,,,,,,,684.87,,228.98,957.53,
Aug-1975,,,,,,,,,,,680.54,,203.26,922.72,
Jul-1975,,,,,,,,,,,714.23,,193.25,947.46,
Jun-1975,,,,,,,,,,,683.09,,138.42,866.48,
May-1975,,,,,,,,,,,690.09,,81.94,814.13,
Apr-1975,,,,,,,,,,,688.31,,68.66,806.45,
Mar-1975,,,,,,,,,,,616.60,,54.45,717.65,
Feb-1975,,,,,,,,,,,570.21,,47.05,658.72,
Jan-1975,,,,,,,,,,,646.20,,64.88,761.64,
Dec-1974,,,,,,,,,,,589.61,,119.93,751.23,
Nov-1974,,,,,,,,,,,524.53,,215.25,785.05,
Oct-1974,,,,,,,,,,,686.91,,261.06,996.12,
Sep-1974,,,,,,,,,,,621.07,,220.15,881.57,
Aug-1974,,,,,,,,,,,713.77,,237.15,1001.83,
Jul-1974,,,,,,,,,,,720.10,,213.07,979.79,
Jun-1974,,,,,,,,,,,687.24,,159.74,898.51,
May-1974,,,,,,,,,,,745.02,,113.24,916.91,
Apr-1974,,,,,,,,,,,672.44,,80.13,807.84,
Mar-1974,,,,,,,,,,,641.86,,58.93,754.35,
Feb-1974,,,,,,,,,,,601.21,,59.83,707.98,
Jan-1974,,,,,,,,,,,713.08,,97.35,862.81,
Dec-1973,,,,,,,,,,,588.17,,174.55,804.91,
Nov-1973,,,,,,,,,,,641.68,,269.87,958.40,
Oct-1973,,,,,,,,,,,733.46,,272.56,1059.75,
Sep-1973,,,,,,,,,,,609.46,,212.31,864.64,
Aug-1973,,,,,,,,,,,703.47,,234.14,977.48,
Jul-1973,,,,,,,,,,,673.64,,185.00,903.22,
Jun-1973,,,,,,,,,,,679.99,,142.90,876.84,
May-1973,,,,,,,,,,,712.13,,84.23,847.47,
Apr-1973,,,,,,,,,,,594.38,,55.76,701.20,
Mar-1973,,,,,,,,,,,621.40,,45.34,716.56,
Feb-1973,,,,,,,,,,,566.24,,41.58,657.61,
Jan-1973,,,,,,,,,,,662.07,,69.66,781.21,
Dec-1972,,,,,,,,,,,582.23,,152.70,777.30,
Nov-1972,,,,,,,,,,,618.15,,261.33,930.00,
Oct-1972,,,,,,,,,,,694.82,,282.67,1028.43,
Sep-1972,,,,,,,,,,,636.05,,241.70,921.26,
Aug-1972,,,,,,,,,,,738.55,,254.65,1041.80,
Jul-1972,,,,,,,,,,,636.56,,186.93,862.31,
Jun-1972,,,,,,,,,,,713.10,,149.00,913.06,
May-1972,,,,,,,,,,,715.43,,74.59,837.56,
Apr-1972,,,,,,,,,,,623.69,,44.33,718.22,
Mar-1972,,,,,,,,,,,652.69,,45.81,748.27,
Feb-1972,,,,,,,,,,,596.06,,45.16,691.29,
Jan-1972,,,,,,,,,,,616.07,,57.64,725.15,
Dec-1971,,,,,,,,,,,600.66,,146.12,792.43,
Nov-1971,,,,,,,,,,,576.19,,242.89,868.69,
Oct-1971,,,,,,,,,,,624.50,,255.98,928.75,
Sep-1971,,,,,,,,,,,630.87,,235.82,919.44,
Aug-1971,,,,,,,,,,,673.73,,221.21,938.17,
Jul-1971,,,,,,,,,,,619.39,,177.09,839.60,
Jun-1971,,,,,,,,,,,654.28,,127.68,834.45,
May-1971,,,,,,,,,,,592.13,,63.07,699.54,
Apr-1971,,,,,,,,,,,599.37,,47.67,698.35,
Mar-1971,,,,,,,,,,,616.54,,42.73,711.44,
Feb-1971,,,,,,,,,,,530.28,,31.48,609.10,
Jan-1971,,,,,,,,,,,563.09,,49.87,662.12,
Dec-1970,,,,,,,,,,,561.50,,149.21,761.78,
Nov-1970,,,,,,,,,,,512.90,,244.89,804.75,
Oct-1970,,,,,,,,,,,633.36,,276.94,963.92,
Sep-1970,,,,,,,,,,,613.48,,244.55,906.37,
Aug-1970,,,,,,,,,,,611.48,,211.95,871.39,
Jul-1970,,,,,,,,,,,656.95,,172.13,874.04,
Jun-1970,,,,,,,,,,,666.07,,109.52,827.18,
May-1970,,,,,,,,,,,601.41,,44.88,694.63,
Apr-1970,,,,,,,,,,,627.97,,27.57,706.84,
Mar-1970,,,,,,,,,,,573.09,,22.12,643.49,
Feb-1970,,,,,,,,,,,522.86,,22.23,584.99,
Jan-1970,,,,,,,,,,,580.09,,40.52,662.26,
Dec-1969,,,,,,,,,,,553.16,,147.37,740.17,
Nov-1969,,,,,,,,,,,461.28,,229.66,726.93,
Oct-1969,,,,,,,,,,,610.52,,266.52,927.64,
Sep-1969,,,,,,,,,,,578.01,,225.77,847.96,
Aug-1969,,,,,,,,,,,573.76,,185.25,797.44,
Jul-1969,,,,,,,,,,,568.36,,145.47,751.89,
Jun-1969,,,,,,,,,,,573.95,,85.43,703.30,
May-1969,,,,,,,,,,,562.71,,38.95,650.01,
Apr-1969,,,,,,,,,,,533.48,,21.01,599.46,
Mar-1969,,,,,,,,,,,482.62,,23.42,547.93,
Feb-1969,,,,,,,,,,,445.59,,21.34,505.85,
Jan-1969,,,,,,,,,,,540.69,,42.59,628.30,
Dec-1968,,,,,,,,,,,464.02,,161.99,670.00,
Nov-1968,,,,,,,,,,,425.67,,245.63,714.56,
Oct-1968,,,,,,,,,,,572.05,,277.21,898.04,
Sep-1968,,,,,,,,,,,502.82,,221.19,759.78,
Aug-1968,,,,,,,,,,,547.74,,194.01,782.24,
Jul-1968,,,,,,,,,,,550.86,,122.26,712.51,
Jun-1968,,,,,,,,,,,497.14,,69.47,600.35,
May-1968,,,,,,,,,,,532.19,,39.10,616.03,
Apr-1968,,,,,,,,,,,484.92,,25.85,556.20,
Mar-1968,,,,,,,,,,,448.78,,21.84,506.50,
Feb-1968,,,,,,,,,,,428.97,,25.12,494.03,
Jan-1968,,,,,,,,,,,483.91,,51.92,585.07,
Dec-1967,,,,,,,,,,,429.53,,177.35,650.63,
Nov-1967,,,,,,,,,,,449.31,,278.13,778.25,
Oct-1967,,,,,,,,,,,525.54,,286.32,867.39,
Sep-1967,,,,,,,,,,,503.67,,253.30,805.64,
Aug-1967,,,,,,,,,,,573.50,,246.02,865.45,
Jul-1967,,,,,,,,,,,488.10,,153.44,677.67,
Jun-1967,,,,,,,,,,,548.00,,102.35,697.38,
May-1967,,,,,,,,,,,552.00,,46.35,647.36,
Apr-1967,,,,,,,,,,,455.92,,25.22,529.67,
Mar-1967,,,,,,,,,,,472.05,,26.45,545.53,
Feb-1967,,,,,,,,,,,403.60,,24.76,472.32,
Jan-1967,,,,,,,,,,,474.91,,45.27,570.60,
Dec-1966,,,,,,,,,,,472.72,,174.06,692.80,
Nov-1966,,,,,,,,,,,435.28,,274.86,766.07,
Oct-1966,,,,,,,,,,,497.07,,271.95,821.79,
Sep-1966,,,,,,,,,,,515.38,,239.93,799.62,
Aug-1966,,,,,,,,,,,540.43,,196.35,778.27,
Jul-1966,,,,,,,,,,,465.23,,114.52,618.12,
Jun-1966,,,,,,,,,,,514.30,,79.45,636.34,
May-1966,,,,,,,,,,,469.73,,35.72,548.21,
Apr-1966,,,,,,,,,,,449.56,,20.46,509.46,
Mar-1966,,,,,,,,,,,439.38,,17.00,491.22,
Feb-1966,,,,,,,,,,,397.79,,18.11,453.31,
Jan-1966,,,,,,,,,,,406.98,,35.51,480.73,
Dec-1965,,,,,,,,,,,421.45,,152.51,620.05,
Nov-1965,,,,,,,,,,,398.85,,275.08,723.73,
Oct-1965,,,,,,,,,,,456.92,,262.12,768.22,
Sep-1965,,,,,,,,,,,469.75,,224.40,739.97,
Aug-1965,,,,,,,,,,,483.20,,163.62,684.00,
Jul-1965,,,,,,,,,,,467.25,,95.66,597.17,
Jun-1965,,,,,,,,,,,486.79,,54.75,576.32,
May-1965,,,,,,,,,,,433.08,,26.98,492.85,
Apr-1965,,,,,,,,,,,420.30,,15.58,470.42,
Mar-1965,,,,,,,,,,,407.70,,14.54,458.44,
Feb-1965,,,,,,,,,,,353.02,,13.65,400.69,
Jan-1965,,,,,,,,,,,395.98,,31.21,469.92,
Dec-1964,,,,,,,,,,,376.33,,142.99,568.80,
Nov-1964,,,,,,,,,,,339.30,,250.63,639.71,
Oct-1964,,,,,,,,,,,413.24,,258.27,731.22,
Sep-1964,,,,,,,,,,,419.91,,208.29,674.09,
Aug-1964,,,,,,,,,,,432.79,,145.55,616.74,
Jul-1964,,,,,,,,,,,435.95,,86.55,557.67,
Jun-1964,,,,,,,,,,,454.53,,52.59,544.92,
May-1964,,,,,,,,,,,423.01,,29.94,489.06,
Apr-1964,,,,,,,,,,,406.63,,18.03,461.98,
Mar-1964,,,,,,,,,,,371.19,,15.62,419.71,
Feb-1964,,,,,,,,,,,345.56,,12.54,385.50,
Jan-1964,,,,,,,,,,,391.75,,32.15,463.97,
Dec-1963,,,,,,,,,,,371.23,,142.12,561.70,
Nov-1963,,,,,,,,,,,326.27,,217.39,597.92,
Oct-1963,,,,,,,,,,,409.31,,251.85,718.61,
Sep-1963,,,,,,,,,,,390.35,,193.72,628.30,
Aug-1963,,,,,,,,,,,431.18,,137.69,610.20,
Jul-1963,,,,,,,,,,,444.23,,74.79,554.27,
Jun-1963,,,,,,,,,,,414.00,,42.02,489.20,
May-1963,,,,,,,,,,,417.24,,30.92,486.32,
Apr-1963,,,,,,,,,,,379.42,,16.72,428.30,
Mar-1963,,,,,,,,,,,343.52,,12.44,381.09,
Feb-1963,,,,,,,,,,,303.11,,13.17,341.48,
Jan-1963,,,,,,,,,,,377.50,,31.01,442.96,
Dec-1962,,,,,,,,,,,322.90,,128.03,492.10,
Nov-1962,,,,,,,,,,,342.33,,231.23,626.57,
Oct-1962,,,,,,,,,,,408.59,,237.16,705.37,
Sep-1962,,,,,,,,,,,343.53,,163.16,549.18,
Aug-1962,,,,,,,,,,,415.69,,121.49,574.61,
Jul-1962,,,,,,,,,,,397.01,,59.18,488.34,
Jun-1962,,,,,,,,,,,421.45,,44.49,498.97,
May-1962,,,,,,,,,,,427.83,,32.52,494.64,
Apr-1962,,,,,,,,,,,362.32,,19.18,411.27,
Mar-1962,,,,,,,,,,,339.47,,13.77,380.55,
Feb-1962,,,,,,,,,,,275.77,,12.61,308.38,
Jan-1962,,,,,,,,,,,303.98,,33.94,375.27,
Dec-1961,,,,,,,,,,,275.85,,138.01,452.78,
Nov-1961,,,,,,,,,,,305.97,,249.44,604.13,
Oct-1961,,,,,,,,,,,385.24,,248.30,688.78,
Sep-1961,,,,,,,,,,,372.98,,179.40,608.93,
Aug-1961,,,,,,,,,,,427.50,,143.56,615.13,
Jul-1961,,,,,,,,,,,412.36,,82.01,523.15,
Jun-1961,,,,,,,,,,,442.43,,72.82,548.37,
May-1961,,,,,,,,,,,421.33,,44.85,500.20,
Apr-1961,,,,,,,,,,,357.92,,22.43,407.36,
Mar-1961,,,,,,,,,,,331.67,,24.31,379.09,
Feb-1961,,,,,,,,,,,255.79,,16.13,293.30,
Jan-1961,,,,,,,,,,,297.77,,34.93,366.82,
Dec-1960,,,,,,,,,,,280.75,,125.05,445.52,
Nov-1960,,,,,,,,,,,285.91,,181.31,517.46,
Oct-1960,,,,,,,,,,,324.65,,192.30,572.08,
Sep-1960,,,,,,,,,,,341.42,,149.58,541.16,
Aug-1960,,,,,,,,,,,379.25,,109.49,530.17,
Jul-1960,,,,,,,,,,,323.56,,51.89,407.33,
Jun-1960,,,,,,,,,,,339.77,,46.00,414.22,
May-1960,,,,,,,,,,,331.69,,27.07,382.56,
Apr-1960,,,,,,,,,,,301.58,,16.22,335.40,
Mar-1960,,,,,,,,,,,283.63,,13.41,321.21,
Feb-1960,,,,,,,,,,,250.94,,14.01,293.64,
Jan-1960,,,,,,,,,,,255.94,,22.08,306.56,
,,,,,,,,,,,,,,,

